metric_date,region,property_type,active_listing_count,leads_count,leads_per_active_listing
2026-03-06,Provence-Alpes-Cote d'Azur,house,84,24,0.286
2026-03-06,Provence-Alpes-Cote d'Azur,parking,59,5,0.085
2026-03-06,Auvergne-Rhone-Alpes,apartment,112,48,0.429
2026-03-06,Auvergne-Rhone-Alpes,house,80,23,0.287
2026-03-06,Auvergne-Rhone-Alpes,parking,56,5,0.089
2026-03-07,Ile-de-France,apartment,144,68,0.472
2026-03-07,Ile-de-France,house,102,33,0.324
2026-03-07,Ile-de-France,parking,72,7,0.097
2026-03-07,Provence-Alpes-Cote d'Azur,apartment,109,52,0.477
2026-03-07,Provence-Alpes-Cote d'Azur,house,78,25,0.321
2026-03-07,Provence-Alpes-Cote d'Azur,parking,55,5,0.091
2026-03-07,Auvergne-Rhone-Alpes,apartment,104,49,0.471
2026-03-07,Auvergne-Rhone-Alpes,house,73,24,0.329
2026-03-07,Auvergne-Rhone-Alpes,parking,52,5,0.096
2026-03-08,Ile-de-France,apartment,147,70,0.476
2026-03-08,Ile-de-France,house,104,34,0.327
2026-03-08,Ile-de-France,parking,74,8,0.108
2026-03-08,Provence-Alpes-Cote d'Azur,apartment,112,53,0.473
2026-03-08,Provence-Alpes-Cote d'Azur,house,79,26,0.329
2026-03-08,Provence-Alpes-Cote d'Azur,parking,56,5,0.089
2026-03-08,Auvergne-Rhone-Alpes,apartment,106,51,0.481
2026-03-08,Auvergne-Rhone-Alpes,house,75,24,0.32
2026-03-08,Auvergne-Rhone-Alpes,parking,53,5,0.094
2026-03-09,Ile-de-France,apartment,150,72,0.48
2026-03-09,Ile-de-France,house,106,35,0.33
2026-03-09,Ile-de-France,parking,75,8,0.107
2026-03-09,Provence-Alpes-Cote d'Azur,apartment,114,55,0.482
2026-03-09,Provence-Alpes-Cote d'Azur,house,81,27,0.333
2026-03-09,Provence-Alpes-Cote d'Azur,parking,57,6,0.105
2026-03-09,Auvergne-Rhone-Alpes,apartment,108,52,0.481
2026-03-09,Auvergne-Rhone-Alpes,house,76,25,0.329
2026-03-09,Auvergne-Rhone-Alpes,parking,54,5,0.093
2026-03-10,Ile-de-France,apartment,153,75,0.49
2026-03-10,Ile-de-France,house,108,36,0.333
2026-03-10,Ile-de-France,parking,76,8,0.105
2026-03-10,Provence-Alpes-Cote d'Azur,apartment,116,57,0.491
2026-03-10,Provence-Alpes-Cote d'Azur,house,82,27,0.329
2026-03-10,Provence-Alpes-Cote d'Azur,parking,58,6,0.103
2026-03-10,Auvergne-Rhone-Alpes,apartment,110,54,0.491
2026-03-10,Auvergne-Rhone-Alpes,house,78,26,0.333
2026-03-10,Auvergne-Rhone-Alpes,parking,55,5,0.091
2026-03-11,Ile-de-France,apartment,156,77,0.494
2026-03-11,Ile-de-France,house,110,37,0.336
2026-03-11,Ile-de-France,parking,78,9,0.115
2026-03-11,Provence-Alpes-Cote d'Azur,apartment,119,58,0.487
2026-03-11,Provence-Alpes-Cote d'Azur,house,84,28,0.333
2026-03-11,Provence-Alpes-Cote d'Azur,parking,59,6,0.102
2026-03-11,Auvergne-Rhone-Alpes,apartment,112,55,0.491
2026-03-11,Auvergne-Rhone-Alpes,house,80,27,0.338
2026-03-11,Auvergne-Rhone-Alpes,parking,56,6,0.107
2026-03-12,Ile-de-France,apartment,144,79,0.549
2026-03-12,Ile-de-France,house,102,38,0.373
2026-03-12,Ile-de-France,parking,72,9,0.125
2026-03-12,Provence-Alpes-Cote d'Azur,apartment,109,60,0.55
2026-03-12,Provence-Alpes-Cote d'Azur,house,78,29,0.372
2026-03-12,Provence-Alpes-Cote d'Azur,parking,55,6,0.109
2026-03-12,Auvergne-Rhone-Alpes,apartment,104,57,0.548
2026-03-12,Auvergne-Rhone-Alpes,house,73,27,0.37
2026-03-12,Auvergne-Rhone-Alpes,parking,52,6,0.115
